,location,price-boroughwise,property_type,cluster_id
351,Richmond upon Thames,cheap,large,351
352,Richmond upon Thames,cheap,room,352
353,Richmond upon Thames,cheap,small,353
354,Richmond upon Thames,expensive,large,354
355,Richmond upon Thames,expensive,room,355
356,Richmond upon Thames,expensive,small,356
357,Richmond upon Thames,very_cheap,room,357
358,Richmond upon Thames,very_expensive,large,358
359,Richmond upon Thames,very_expensive,room,359
360,Richmond upon Thames,very_expensive,small,360
361,Southwark,average,large,361
362,Southwark,average,room,362
363,Southwark,average,small,363
364,Southwark,cheap,large,364
365,Southwark,cheap,room,365
366,Southwark,cheap,small,366
367,Southwark,expensive,large,367
368,Southwark,expensive,room,368
369,Southwark,expensive,small,369
370,Southwark,very_cheap,large,370
371,Southwark,very_cheap,room,371
372,Southwark,very_cheap,small,372
373,Southwark,very_expensive,large,373
374,Southwark,very_expensive,room,374
375,Southwark,very_expensive,small,375
376,Sutton,average,large,376
377,Sutton,average,room,377
378,Sutton,average,small,378
379,Sutton,cheap,room,379
380,Sutton,expensive,large,380
381,Sutton,expensive,room,381
382,Sutton,expensive,small,382
383,Sutton,very_cheap,room,383
384,Sutton,very_cheap,small,384
385,Sutton,very_expensive,large,385
386,Sutton,very_expensive,room,386
387,Sutton,very_expensive,small,387
388,Tower Hamlets,average,large,388
389,Tower Hamlets,average,room,389
390,Tower Hamlets,average,small,390
391,Tower Hamlets,cheap,large,391
392,Tower Hamlets,cheap,room,392
393,Tower Hamlets,cheap,small,393
394,Tower Hamlets,expensive,large,394
395,Tower Hamlets,expensive,room,395
396,Tower Hamlets,expensive,small,396
397,Tower Hamlets,very_cheap,large,397
398,Tower Hamlets,very_cheap,room,398
399,Tower Hamlets,very_cheap,small,399
400,Tower Hamlets,very_expensive,large,400
401,Tower Hamlets,very_expensive,room,401
402,Tower Hamlets,very_expensive,small,402
403,Waltham Forest,average,large,403
404,Waltham Forest,average,room,404
405,Waltham Forest,average,small,405
406,Waltham Forest,cheap,large,406
407,Waltham Forest,cheap,room,407
408,Waltham Forest,cheap,small,408
409,Waltham Forest,expensive,large,409
410,Waltham Forest,expensive,room,410
411,Waltham Forest,expensive,small,411
412,Waltham Forest,very_cheap,large,412
413,Waltham Forest,very_cheap,room,413
414,Waltham Forest,very_expensive,large,414
415,Waltham Forest,very_expensive,room,415
416,Waltham Forest,very_expensive,small,416
417,Wandsworth,average,large,417
418,Wandsworth,average,room,418
419,Wandsworth,average,small,419
420,Wandsworth,cheap,large,420
421,Wandsworth,cheap,room,421
422,Wandsworth,cheap,small,422
423,Wandsworth,expensive,large,423
424,Wandsworth,expensive,room,424
425,Wandsworth,expensive,small,425
426,Wandsworth,very_cheap,large,426
427,Wandsworth,very_cheap,room,427
428,Wandsworth,very_cheap,small,428
429,Wandsworth,very_expensive,large,429
430,Wandsworth,very_expensive,room,430
431,Wandsworth,very_expensive,small,431
432,Westminster,average,large,432
433,Westminster,average,room,433
434,Westminster,average,small,434
435,Westminster,cheap,large,435
436,Westminster,cheap,room,436
437,Westminster,cheap,small,437
438,Westminster,expensive,large,438
439,Westminster,expensive,room,439
440,Westminster,expensive,small,440
441,Westminster,very_cheap,large,441
442,Westminster,very_cheap,room,442
443,Westminster,very_cheap,small,443
444,Westminster,very_expensive,large,444
445,Westminster,very_expensive,room,445
446,Westminster,very_expensive,small,446
