,location,price-boroughwise,property_type,review_scores_rating,listing_id
31492,Camden,expensive,large,94.0,26366567.0
31498,Camden,very_expensive,large,85.0,26377763.0
31504,Camden,average,room,98.0,26379987.0
31540,Camden,expensive,large,85.0,26407449.0
31541,Camden,very_expensive,large,68.0,26407468.0
31542,Camden,expensive,small,90.0,26407504.0
31543,Camden,very_expensive,large,67.0,26407535.0
31544,Camden,very_expensive,large,85.0,26407551.0
31545,Camden,very_expensive,large,86.0,26407569.0
31546,Camden,very_expensive,large,90.0,26407601.0
31547,Camden,very_expensive,large,85.0,26407624.0
31548,Camden,very_expensive,large,84.0,26408042.0
31551,Camden,cheap,room,93.0,26408151.0
31559,Camden,very_expensive,large,97.0,26411709.0
31581,Camden,very_cheap,room,99.0,26435533.0
31593,Camden,very_expensive,large,82.0,26440348.0
31595,Camden,expensive,large,96.0,26443345.0
31598,Camden,average,small,75.0,26443804.0
31611,Camden,expensive,large,90.0,26448731.0
31615,Camden,very_cheap,room,96.0,26458133.0
31621,Camden,cheap,room,100.0,26459848.0
31670,Camden,very_expensive,large,91.0,26491166.0
31679,Camden,very_cheap,small,96.0,26498263.0
31680,Camden,very_expensive,large,100.0,26498264.0
31714,Camden,average,small,87.0,26518784.0
31715,Camden,average,room,80.0,26518925.0
31717,Camden,cheap,room,84.0,26521065.0
31722,Camden,average,large,100.0,26523011.0
31726,Camden,expensive,large,86.0,26527474.0
31731,Camden,cheap,small,98.0,26528567.0
31755,Camden,cheap,small,89.0,26558467.0
31787,Camden,average,large,90.0,26587981.0
31793,Camden,very_expensive,large,97.0,26591237.0
31803,Camden,average,room,82.0,26596318.0
31820,Camden,average,large,95.0,26602949.0
31837,Camden,average,small,47.0,26619222.0
31843,Camden,very_expensive,large,84.0,26621530.0
31862,Camden,very_cheap,room,79.0,26637161.0
31865,Camden,very_expensive,small,98.0,26642047.0
31866,Camden,cheap,small,91.0,26643076.0
31867,Camden,average,small,91.0,26643862.0
31884,Camden,very_expensive,large,88.0,26653041.0
31931,Camden,expensive,small,96.0,26690360.0
31934,Camden,average,small,89.0,26699495.0
31935,Camden,average,small,84.0,26700461.0
31972,Camden,very_cheap,room,100.0,26730113.0
31982,Camden,average,small,98.0,26735213.0
32014,Camden,very_cheap,room,76.0,26759667.0
32020,Camden,very_cheap,room,79.0,26763103.0
32025,Camden,average,small,84.0,26765767.0
32028,Camden,average,room,75.0,26766399.0
32029,Camden,very_expensive,room,89.0,26766437.0
32030,Camden,very_expensive,room,86.0,26766870.0
32053,Camden,expensive,small,82.0,26789740.0
32059,Camden,expensive,small,88.0,26795342.0
32066,Camden,very_cheap,room,95.0,26798960.0
32072,Camden,very_cheap,room,87.0,26804246.0
32073,Camden,average,small,97.0,26806506.0
32083,Camden,expensive,large,97.0,26826161.0
32098,Camden,very_cheap,room,98.0,26835471.0
32101,Camden,expensive,large,100.0,26835898.0
32102,Camden,very_cheap,room,84.0,26836210.0
32127,Camden,expensive,small,98.0,26858703.0
32135,Camden,very_cheap,room,88.0,26864478.0
32144,Camden,very_expensive,room,93.0,26873160.0
32155,Camden,very_cheap,room,97.0,26890233.0
32171,Camden,cheap,small,99.0,26906221.0
32184,Camden,very_cheap,room,68.0,26919544.0
32190,Camden,cheap,room,100.0,26921971.0
32194,Camden,very_expensive,large,100.0,26933069.0
32203,Camden,very_expensive,small,89.0,26937213.0
32216,Camden,very_expensive,large,95.0,26945428.0
32261,Camden,very_expensive,large,100.0,26984985.0
32281,Camden,average,small,93.0,27007996.0
32289,Camden,expensive,large,100.0,27010941.0
32294,Camden,very_cheap,room,90.0,27015225.0
32295,Camden,very_cheap,room,98.0,27016761.0
32297,Camden,very_expensive,large,100.0,27019331.0
32307,Camden,very_cheap,room,88.0,27025816.0
32312,Camden,very_cheap,room,91.0,27027855.0
32313,Camden,very_cheap,room,88.0,27028011.0
32314,Camden,very_cheap,room,90.0,27028145.0
32316,Camden,very_cheap,room,87.0,27028238.0
32330,Camden,average,large,96.0,27041607.0
32345,Camden,average,small,94.0,27049885.0
32354,Camden,very_cheap,room,93.0,27054001.0
32411,Camden,very_expensive,large,98.0,27098949.0
32450,Camden,cheap,room,100.0,27131734.0
32451,Camden,very_cheap,room,100.0,27131777.0
32465,Camden,very_cheap,room,100.0,27150392.0
32505,Camden,average,small,91.0,27183359.0
32536,Camden,very_cheap,room,81.0,27194449.0
32551,Camden,cheap,room,95.0,27209778.0
32570,Camden,expensive,small,86.0,27223088.0
32581,Camden,average,small,88.0,27229714.0
32586,Camden,expensive,room,96.0,27232902.0
32589,Camden,expensive,small,100.0,27241573.0
32602,Camden,very_expensive,small,100.0,27247681.0
32618,Camden,expensive,small,87.0,27253299.0
32626,Camden,very_cheap,small,69.0,27269922.0
32629,Camden,very_expensive,small,98.0,27271387.0
32643,Camden,very_cheap,room,96.0,27276455.0
32668,Camden,average,large,100.0,27297426.0
32676,Camden,average,large,70.0,27304694.0
32677,Camden,average,large,82.0,27305308.0
32696,Camden,expensive,large,80.0,27326874.0
32703,Camden,very_cheap,room,91.0,27328704.0
32704,Camden,very_cheap,room,85.0,27329206.0
32805,Camden,very_cheap,room,100.0,27386839.0
32814,Camden,average,small,98.0,27390113.0
32839,Camden,very_expensive,small,93.0,27399848.0
32866,Camden,average,large,90.0,27423499.0
32878,Camden,very_cheap,room,100.0,27432662.0
32879,Camden,average,large,95.0,27432687.0
32899,Camden,cheap,large,90.0,27451732.0
32928,Camden,very_cheap,room,98.0,27461939.0
32941,Camden,cheap,room,87.0,27474033.0
32944,Camden,very_expensive,large,90.0,27475482.0
32945,Camden,average,small,100.0,27475849.0
32949,Camden,average,large,91.0,27477072.0
32958,Camden,very_expensive,large,97.0,27482964.0
32966,Camden,cheap,small,93.0,27491047.0
33007,Camden,expensive,small,96.0,27514227.0
33043,Camden,expensive,small,93.0,27526782.0
33047,Camden,very_cheap,room,96.0,27527765.0
33048,Camden,expensive,small,94.0,27528100.0
33052,Camden,cheap,room,97.0,27532368.0
33054,Camden,cheap,room,100.0,27532753.0
33055,Camden,very_expensive,large,91.0,27534034.0
33056,Camden,very_expensive,large,93.0,27534930.0
33077,Camden,cheap,small,81.0,27542668.0
33092,Camden,expensive,large,98.0,27548497.0
33104,Camden,cheap,small,84.0,27561580.0
33127,Camden,average,small,89.0,27570612.0
33128,Camden,cheap,small,83.0,27570660.0
33142,Camden,expensive,small,91.0,27577427.0
